Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source,File
291H,290H,-43.73908,567,40,0.23,301,914.RAW,luba,0973_4665-6209.rez
290H,6209,-117.96669,1411,105,2.43,301,914.RAW,luba,0973_4665-6209.rez
46U,3093,-1.10533,2152,33,1.01,496,0,1998-r1,0974_46U-6032.rez
3093,4054,-0.7479,1308,21,-1.14,496,0,1998-r1,0974_46U-6032.rez
4054,6032,-0.37132,957,22,0.8,496,0,1998-r1,0974_46U-6032.rez
46U,4053,-0.24667,52,4,-0.04,996,0,1998-r1,0975_46U-4053.rez
46U,6031,-0.08419,1745,25,-1.19,496,0,1998-r1,0976_46U-60281.rez
6031,6030,34.60261,1752,69,1.47,496,0,1998-r1,0976_46U-60281.rez
6030,6029,-8.63301,285,17,0.75,996,0,1998-r1,0976_46U-60281.rez
6029,60281,-8.34154,163,10,0.23,996,0,1998-r1,0976_46U-60281.rez
46U,60311,-0.65022,1741,51,0.57,405,938.RAW,luba,0977_46U-6028.rez
60311,6028,21.99891,2104,82,1.52,1205,938.RAW,luba,0977_46U-6028.rez
46U,6032,-2.21737,4284,120,1.94,305,938.RAW,luba,0978_46U-6032.rez
4751,1X,-20.56424,1063,22,0.2,786,2020,1998-r1,0998_4751-737A.rez
1X,4073,-8.92085,668,14,0.6,786,2020,1998-r1,0998_4751-737A.rez
4073,4752,39.52947,889,26,0.7,786,2020,1998-r1,0998_4751-737A.rez
4752,4072,-1.7022,565,12,-0.1,786,2020,1998-r1,0998_4751-737A.rez
4072,737A,-84.09794,966,42,1.5,786,2020,1998-r1,0998_4751-737A.rez
4751,3479MPI,-83.62164,3398,122,2.13,605,938.RAW,luba,0999_4751-736A.rez
3479MPI,736A,-49.01165,3218,105,2.25,605,938.RAW,luba,0999_4751-736A.rez
4751,4750,-58.82202,2007,49,2,786,2020,1998-r1,1000_4751-736A.rez
4750,47492,-25.67077,1587,26,1.2,886,2020,1998-r1,1000_4751-736A.rez
47492,4749,-0.40527,748,12,0.6,886,2020,1998-r1,1000_4751-736A.rez
4749,736A1,6.47131,861,20,1.1,886,2020,1998-r1,1000_4751-736A.rez
736A1,736A,-54.19261,1519,35,2.4,886,2020,1998-r1,1000_4751-736A.rez
