Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source
7554MPI,5420MPI,21.76648,1668,37,1.02,1119,5420MPI-7554MPI.DAT.raw,3786-line_1_2
5420MPI,207U,16.2129,765,25,0,1019,207U-5420MPI.DAT.raw,3786-line_1_2
207U,5421MPI,11.74809,1347,42,1.1,1119,5421MPI-207U.DAT.raw,3786-line_1_2
5421MPI,208U,4.80988,1016,22,1.61,1119,208U-5421MPI.DAT.raw,3786-line_1_2
208U,5422MPI,13.34822,1476,30,2.03,1119,5422U-208U.DAT.raw,3786-line_1_2
5422MPI,209U,4.93055,965,20,1.02,1119,209U-5422MPI.DAT.raw,3786-line_1_2
209U,5423MPI,-10.55,1413,37,1.15,1119,5423MPI-209U.DAT.raw,3786-line_1_2
5423MPI,210U,-31.92392,829,49,1.25,1219,210U-5423MPI.DAT.raw,3786-line_1_2
210U,5425MPI,-19.62337,886,34,0.98,1119,5425MPI-210U.DAT.raw,3786-line_1_2
5425MPI,3813MPI,37.04232,1467,78,1.94,1219,3813MPI-5425MPI.DAT.raw,3786-line_1_2
3813MPI,3814MPI,67.49967,1962,89,0.28,1119,3814MPI-3813MPI.DAT.raw,3786-line_1_2
3814MPI,5424MPI,8.9722,1243,72,1.77,1119,5424MPI-3814MPI.DAT.raw,3786-line_1_2
5424MPI,213U,5.98664,1617,94,1.3,1119,213U-5424MPI.DAT.raw,3786-line_1_2
