from_Point,to_Point,dH,dist_m,num_stations,BF_diff_mm
338A,2248b,15.11973,1921,36,-0.3
2248b,3236,28.38765,1582,32,0.44
3236,2245b,8.69493,899,26,1.56
2251b,4203MPI,13.39088,1823,48,0.06
4203MPI,4204MPI,58.83456,1995,51,0.46
4204MPI,4205MPI,15.87816,1586,53,1.36
4205MPI,4206MPI,-11.03128,2100,52,1.96
4206MPI,4176MPI,7.86689,2194,58,2.08
4176MPI,5451MPI,-46.36039,1820,53,2.02
5451MPI,4321MPI,-18.58994,1557,39,2.14
4321MPI,4170MPI,49.05776,2264,54,2.44
4170MPI,4169MPI,-45.95892,1686,52,2.5
4169MPI,4168MPI,48.84497,1503,53,1.6
4168MPI,4167MPI,-1.8049,1351,51,0.44
4167MPI,4166MPI,-36.80068,1266,41,0.6
4166MPI,7230MPI,50.30364,956,34,0.77
7230MPI,7214MPI,-25.99806,2527,86,2.94
7214MPI,7127b,45.61198,2240,68,-1.3
7115b,5533MPI,38.38845,2193,74,0.66
5533MPI,5532MPI,0.61059,1986,68,2.56
5532MPI,5531MPI,15.65653,2282,69,-0.66
5531MPI,5530MPI,-31.05879,1554,32,-0.82
5530MPI,5528MPI,-18.49968,2192,38,-2.16
5528MPI,5455MPI,-3.5478,1595,28,-1.1
5455MPI,5529MPI,11.11637,1758,32,-0.76
5529MPI,433A,50.02961,2167,48,2.08
4510,5536MPI,-15.92737,1651,33,-1.8
5536MPI,5535MPI,-10.35051,1715,34,1.6
5535MPI,5534MPI,41.49527,2629,48,1.18
5534MPI,874U,18.50094,2632,51,-1.68
874U,3746MPI,36.08284,3026,64,2.11
3746MPI,5443MPI,-85.41517,2232,88,2.1
5443MPI,3214b,-55.92618,2322,65,2.51
611U,4162MPI,-6.56786,2432,45,2.2
4162MPI,4161MPI,3.16184,2122,61,2.58
4161MPI,4160MPI,-0.80743,2107,50,1.12
4160MPI,5095,-16.06236,1391,28,-1.76
5095,4320MPI,-19.41528,2756,52,3.02
4320MPI,5094,-10.6201,1256,29,0
4720,5442MPI,10.17698,809,28,1.02
5442MPI,5441MPI,10.47854,1067,25,0.08
5441MPI,2127b,-6.98158,1181,22,0.77
2157b,900b,-2.96185,2339,42,3.1
900b,5090,-18.61418,1630,33,1.7
5090,5440MPI,-21.78976,1586,33,2.26
5440MPI,40F,-2.79094,1438,46,1.65
6258,5466MPI,84.55842,2129,68,1.45
5466MPI,119U,97.58476,2237,78,-1.32
119U,3777MPI,109.41128,1669,76,2.24
3777MPI,5467MPI,164.8264,2594,112,1.4
5467MPI,5468MPI,135.40388,2243,98,2.75
5468MPI,3932MPI,97.44347,1284,58,1.66
3932MPI,5469MPI,52.9426,1238,47,0.92
5469MPI,3747MPI,28.85018,1704,54,1.97
3747MPI,3749MPI,92.72165,1198,67,-0.7
3749MPI,3757MPI,203.80452,2685,125,0.45
3757MPI,53M,114.88032,2142,80,1.65
53M,3756MPI,18.35622,962,30,0.65
3756MPI,3755MPI,61.32289,1177,50,0.88
3755MPI,5475MPI,156.25831,2315,104,-0.82
5475MPI,3752MPI,210.67278,2500,135,0.66
53M,5470MPI,-116.78505,1492,82,1.3
460U,1295U,8.28797,760,28,1.66
